ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,問題Question,Team Name (Hide),x,y
13,c11d6f6e-f502-4554-8437-c317a10c66fa,2/12/2023 5:40:52 AM,hkggatut51,2/12/2023 5:40:52 AM,hkggatut51,correct,OPN 015,0,0
14,e2ac9496-7699-43ad-8c72-77384fd52f4f,2/12/2023 5:41:26 AM,hkggatut50,2/12/2023 5:41:26 AM,hkggatut50,correct,OPN 014,0,0
15,a359d8bc-62f4-4ff8-8782-145957f0c4fc,2/12/2023 5:41:52 AM,hkggatut48,2/12/2023 5:41:52 AM,hkggatut48,correct,OPN 012,0,0
16,4bdbed27-6708-4be4-807c-fbd9bfe9ba31,2/12/2023 5:42:10 AM,hkggatut52,2/12/2023 5:42:10 AM,hkggatut52,correct,OPN 016,0,0
17,7b382b19-51aa-4e41-8b33-7a02383557ec,2/12/2023 6:05:21 AM,hkggatut44,2/12/2023 6:05:21 AM,hkggatut44,correct,OPN 008,0,0
18,6f2606c8-4bd7-44f1-8fa8-7af6f4d181c1,2/12/2023 6:34:54 AM,hkggatut140,2/12/2023 6:34:54 AM,hkggatut140,correct,TEST 001,0,0
