ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,問題Question,Team Name (Hide),x,y
13,4080543f-6351-43ac-8f8d-4cd48bba3211,2/12/2023 7:14:06 AM,hkggatut92,2/12/2023 7:14:06 AM,hkggatut92,correct,EXP 021,0,0
14,839be893-51b7-4e5b-85cc-30eec6cdefb3,2/12/2023 7:15:22 AM,hkggatut94,2/12/2023 7:15:22 AM,hkggatut94,correct,EXP 023,0,0
15,734957ff-0749-4a6f-82cd-3cf5545dee38,2/12/2023 7:15:26 AM,hkggatut105,2/12/2023 7:15:26 AM,hkggatut105,correct,EXP 004,0,0
16,f6b1976a-5778-4ff6-8688-fb2ab41fa0aa,2/12/2023 7:15:26 AM,hkggatut93,2/12/2023 7:15:26 AM,hkggatut93,correct,EXP 022,0,0
17,455196e8-0206-4f98-8367-23e8b5045208,2/12/2023 7:16:31 AM,hkggatut82,2/12/2023 7:16:31 AM,hkggatut82,correct,EXP 011,0,0
18,d5e52c1c-e770-41dc-8161-a08d7b93be3f,2/12/2023 7:17:37 AM,hkggatut85,2/12/2023 7:17:37 AM,hkggatut85,correct,EXP 014,0,0
19,f6552a2b-6f14-45fa-8115-d2ec0e28efff,2/12/2023 7:27:53 AM,hkggatut80,2/12/2023 7:27:53 AM,hkggatut80,correct,EXP 009,0,0
20,29f99462-dcbd-44a7-8dbc-2390cd6c5da7,2/12/2023 7:32:14 AM,hkggatut79,2/12/2023 7:32:14 AM,hkggatut79,correct,EXP 008,0,0
21,92b66bd7-f426-42c4-8281-cdc81ec2eed0,2/12/2023 7:32:15 AM,hkggatut78,2/12/2023 7:32:15 AM,hkggatut78,correct,EXP 007,0,0
22,176da206-2745-4e96-8ada-7a360df02192,2/12/2023 7:40:55 AM,hkggatut90,2/12/2023 7:40:55 AM,hkggatut90,correct,EXP 019,0,0
23,ee642288-e172-4793-87e4-cbdc70925938,2/12/2023 7:41:18 AM,hkggatut91,2/12/2023 7:41:18 AM,hkggatut91,correct,EXP 020,0,0
24,cc91d280-314c-4fb2-8a3d-c0c8b10b67ab,2/12/2023 7:43:28 AM,hkggatut83,2/12/2023 7:43:28 AM,hkggatut83,correct,EXP 012,0,0
25,7e38b910-2ff3-471c-8a1a-841820ab6c66,2/12/2023 7:59:07 AM,hkggatut88,2/12/2023 7:59:07 AM,hkggatut88,correct,EXP 017,0,0
