ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,問題Question,Team Name (Hide),x,y
10,e5dbdaf5-e824-4ab0-8196-af8cf038c0e8,2/12/2023 6:43:35 AM,hkggatut94,2/12/2023 6:43:35 AM,hkggatut94,correct,EXP 023,0,0
11,03cd20b9-c917-44c2-8914-be4567f22aa2,2/12/2023 6:43:40 AM,hkggatut93,2/12/2023 6:43:40 AM,hkggatut93,correct,EXP 022,0,0
12,56bfd282-9e56-49e8-8723-acb5bbaa153b,2/12/2023 6:43:43 AM,hkggatut105,2/12/2023 6:43:43 AM,hkggatut105,correct,EXP 004,0,0
13,56475d7c-f584-49f0-8ad4-fbc57750433b,2/12/2023 6:43:47 AM,hkggatut85,2/12/2023 6:43:47 AM,hkggatut85,correct,EXP 014,0,0
14,4eac0806-cc85-4626-8081-16ee9fdb4105,2/12/2023 6:43:56 AM,hkggatut90,2/12/2023 6:43:56 AM,hkggatut90,correct,EXP 019,0,0
15,04542b9a-da3e-4fb3-8cf7-d1aa6bb67d31,2/12/2023 6:43:57 AM,hkggatut91,2/12/2023 6:43:57 AM,hkggatut91,correct,EXP 020,0,0
16,b8c8e9e1-0553-4867-8c5e-c0362b46d972,2/12/2023 6:43:58 AM,hkggatut80,2/12/2023 6:43:58 AM,hkggatut80,correct,EXP 009,0,0
17,ed8a1e40-8de1-4271-812b-8f02e8bb426a,2/12/2023 6:44:00 AM,hkggatut92,2/12/2023 6:44:00 AM,hkggatut92,correct,EXP 021,0,0
18,34d06b19-967e-4078-88f0-0837069c74d7,2/12/2023 6:44:18 AM,hkggatut83,2/12/2023 6:44:18 AM,hkggatut83,correct,EXP 012,0,0
19,4fa19f80-a97a-400f-83f5-8daac13228b7,2/12/2023 6:44:22 AM,hkggatut82,2/12/2023 6:44:22 AM,hkggatut82,correct,EXP 011,0,0
20,d5e8e96d-83af-4d3d-86f7-f8909e885efd,2/12/2023 6:44:26 AM,hkggatut87,2/12/2023 6:44:26 AM,hkggatut87,correct,EXP 016,0,0
21,6cb65f6d-6500-4b19-8f92-6df64e31f559,2/12/2023 6:46:00 AM,hkggatut72,2/12/2023 6:46:00 AM,hkggatut72,correct,EXP 001,0,0
22,0362011b-ef83-41e9-823a-acfdbb73b58d,2/12/2023 6:46:02 AM,hkggatut78,2/12/2023 6:46:02 AM,hkggatut78,correct,EXP 007,0,0
23,6ba18706-280d-4b46-8cdf-506f99a868ac,2/12/2023 6:46:54 AM,hkggatut88,2/12/2023 6:46:54 AM,hkggatut88,correct,EXP 017,0,0
24,d407a587-dcb2-4133-8c8d-5a04ee2cf9c9,2/12/2023 8:10:49 AM,hkggatut79,2/12/2023 8:10:49 AM,hkggatut79,correct,EXP 008,0,0
