ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,問題Question,Team Name (Hide),x,y
17,cee78cc3-ab59-4286-8531-50b22c18759c,2/12/2023 7:02:35 AM,hkggatut140,2/12/2023 7:02:35 AM,hkggatut140,correct,TEST 001,0,0
18,a45e7283-afe3-4978-8c5f-5befe2fe9d62,2/12/2023 7:05:33 AM,hkggatut82,2/12/2023 7:05:33 AM,hkggatut82,correct,EXP 011,0,0
19,724d16e0-f6ed-4a62-85a6-dea1b40525c7,2/12/2023 7:06:06 AM,hkggatut94,2/12/2023 7:06:06 AM,hkggatut94,correct,EXP 023,0,0
20,8357244a-64c9-479b-85e9-28ade68dd1c7,2/12/2023 7:06:11 AM,hkggatut93,2/12/2023 7:06:11 AM,hkggatut93,correct,EXP 022,0,0
21,6e99165a-64d5-47d1-8c05-1c87a13aaef6,2/12/2023 7:06:29 AM,hkggatut85,2/12/2023 7:06:29 AM,hkggatut85,correct,EXP 014,0,0
22,6cb4d16a-4ea4-40c1-8dbb-7747dda13c92,2/12/2023 7:14:49 AM,hkggatut80,2/12/2023 7:14:49 AM,hkggatut80,correct,EXP 009,0,0
23,3de0bb40-d868-4716-8718-99e5f1e7de7d,2/12/2023 7:19:54 AM,hkggatut78,2/12/2023 7:19:54 AM,hkggatut78,correct,EXP 007,0,0
24,a3f51a70-e758-4803-86cb-fc3030f373ad,2/12/2023 7:21:28 AM,hkggatut72,2/12/2023 7:21:28 AM,hkggatut72,correct,EXP 001,0,0
25,56be4c28-e7eb-467f-8b24-9cba13650d22,2/12/2023 7:26:32 AM,hkggatut90,2/12/2023 7:26:32 AM,hkggatut90,correct,EXP 019,0,0
26,e22c3c07-f2e8-45c2-8553-5de713613ff7,2/12/2023 7:26:35 AM,hkggatut91,2/12/2023 7:26:35 AM,hkggatut91,correct,EXP 020,0,0
27,81c2ddaa-8503-4775-8944-d78be85de2df,2/12/2023 7:43:13 AM,hkggatut79,2/12/2023 7:43:13 AM,hkggatut79,correct,EXP 008,0,0
28,226a9d8a-2086-4451-88da-eb968101088d,2/12/2023 7:49:52 AM,hkggatut87,2/12/2023 7:49:52 AM,hkggatut87,correct,EXP 016,0,0
29,79067096-a0db-4334-82f9-3e6be7cd333d,2/12/2023 7:56:09 AM,hkggatut83,2/12/2023 7:56:09 AM,hkggatut83,correct,EXP 012,0,0
30,3d04f038-f405-4d3c-83ff-c8f363093ac9,2/12/2023 8:16:58 AM,hkggatut88,2/12/2023 8:16:58 AM,hkggatut88,correct,EXP 017,0,0
